Film,US_release_date,Box_office_gross_Domestic_US_and_Canada,Box_office_gross_Other_territories,Box_office_gross_Worldwide,Budget,MCU,Phase,Distributor,MPAA_Rating,Length,Minutes,Franchise,Character_Family,Domestic_%,Gross_to_Budget,Rotten_Tomatoes_Critic_Score,Male_Female_led,Year,Inflation_Adjusted_Worldwide_Gross,Inflation_Adjusted_Budget,2.5x_prod,Break_Even
Guardians of the Galaxy,2014-08-01,333718600,439631547,773350147,170000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,02:01:00,121,Marvel,Guardians of the Galaxy,43%,4.55,92,Male,2014,773350147,170000000,425000000,Success
Avengers: Age of Ultron,2015-05-01,459005868,946012180,1405018048,250000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,02:21:00,141,Marvel,Avengers,33%,5.62,76,Male,2015,1405018048,250000000,625000000,Success
Ant-Man,2015-07-17,180202163,339109802,519311965,130000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,01:57:00,117,Marvel,Ant-Man,35%,3.99,83,Male,2015,519311965,130000000,325000000,Success
Fantastic Four,2015-08-07,56117548,111765333,167882881,120000000,FALSE,NA,Twentieth Century Fox,PG-13,01:40:00,100,Marvel,Fantastic Four,33%,1.4,9,Male,2015,167882881,120000000,300000000,Flop
Deadpool,2016-02-12,363070709,419541446,782612155,58000000,FALSE,NA,Twentieth Century Fox,R,01:48:00,108,Marvel,X-Men,46%,13.49,85,Male,2016,782612155,58000000,145000000,Success
Batman v Superman: Dawn of Justice,2016-03-23,330360194,544002609,874362803,250000000,FALSE,NA,Warner Bros.,PG-13,02:31:00,151,DC,Justice League,38%,3.5,29,Male,2016,1110049834,317388225,625000000,Success
Captain America: Civil War,2016-05-06,408084349,746962067,1155046416,250000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:27:00,147,Marvel,Captain America,35%,4.62,91,Male,2016,1155046416,250000000,625000000,Success
X-Men: Apocalypse,2016-05-27,155442489,388491616,543934105,178000000,FALSE,NA,Twentieth Century Fox,PG-13,02:24:00,144,Marvel,X-Men,29%,3.06,47,Male,2016,543934105,178000000,445000000,Success
Suicide Squad,2016-08-05,325100054,424100000,749200054,175000000,FALSE,NA,Warner Bros.,PG-13,02:03:00,123,DC,Suicide Squad,43%,4.28,26,Male,2016,951149103,222171758,437500000,Success
Doctor Strange,2016-11-04,232641920,445154156,677796076,165000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,01:55:00,115,Marvel,Doctor Strange,34%,4.11,89,Male,2016,677796076,165000000,412500000,Success
The Lego Batman Movie,2017-02-10,175936671,136400000,312336671,80000000,FALSE,NA,Warner Bros.,PG,01:44:00,104,DC,Batman,56%,3.9,89,Male,2017,388256683,99445686,200000000,Success
Logan,2017-03-03,226277068,392902882,619179950,97000000,FALSE,NA,Twentieth Century Fox,R,02:17:00,137,Marvel,X-Men,37%,6.38,94,Male,2017,619179950,97000000,242500000,Success
Guardians of the Galaxy Vol. 2,2017-05-05,389813101,473942950,863756051,200000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:16:00,136,Marvel,Guardians of the Galaxy,45%,4.32,85,Male,2017,863756051,200000000,500000000,Success
Wonder Woman,2017-06-02,412845172,411125510,823970682,149000000,FALSE,NA,Warner Bros.,PG-13,02:21:00,141,DC,Wonder Woman,50%,5.53,93,Female,2017,1024254126,185217591,372500000,Success
Spider-Man: Homecoming,2017-07-07,334201140,545965784,880166924,175000000,TRUE,3,Sony Pictures Entertainment ,PG-13,02:13:00,133,Marvel,Spider-Man,38%,5.03,92,Male,2017,880166924,175000000,437500000,Success
Thor: Ragnarok,2017-11-03,315058289,540243517,855301806,180000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:10:00,130,Marvel,Thor,37%,4.75,93,Male,2017,855301806,180000000,450000000,Success
Justice League,2017-11-17,229024295,432300000,661324295,300000000,FALSE,NA,Warner Bros.,PG-13,02:00:00,120,DC,Justice League,35%,2.2,39,Male,2017,822073106,372921324,750000000,Flop
Black Panther,2018-02-16,700426566,649499517,1349926083,200000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:14:00,134,Marvel,Black Panther,52%,6.75,96,Male,2018,1349926083,200000000,500000000,Success
Avengers: Infinity War,2018-04-27,678815482,1373599557,2052415039,325000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:29:00,149,Marvel,Avengers,33%,6.32,85,Male,2018,2052415039,325000000,812500000,Success
Deadpool 2,2018-05-18,318491426,416055185,734546611,110000000,FALSE,NA,Twentieth Century Fox,R,01:59:00,119,Marvel,X-Men,43%,6.68,84,Male,2018,734546611,110000000,275000000,Success
Ant-Man and the Wasp,2018-07-06,216648740,406025399,622674139,162000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,01:58:00,118,Marvel,Ant-Man,35%,3.84,87,Co-starring,2018,622674139,162000000,405000000,Success
Teen Titans Go! To the Movies,2018-07-27,29790236,22600000,52390236,10000000,FALSE,NA,Warner Bros.,PG,01:24:00,84,DC,Teen Titans,57%,5.24,91,Co-starring,2018,63572054,12134333,25000000,Success
Venom,2018-10-05,213515506,642569645,856085151,100000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,01:52:00,112,Marvel,Spider-Man Allies and Villains,25%,8.56,30,Male,2018,856085151,100000000,250000000,Success
Spider-Man: Into the Spider-Verse,2018-12-14,190241310,194057426,384298736,90000000,FALSE,NA,Sony Pictures Entertainment ,PG,01:57:00,117,Marvel,Spider-Man,50%,4.27,97,Male,2018,384298736,90000000,225000000,Success
Aquaman,2018-12-21,335061807,816900000,1151961807,160000000,FALSE,NA,Warner Bros.,PG-13,02:23:00,143,DC,Aquaman,29%,7.2,66,Male,2018,1397828760,194149320,400000000,Success
Captain Marvel,2019-03-08,426829839,704586607,1131416446,152000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:03:00,123,Marvel,Captain Marvel,38%,7.44,79,Female,2019,1131416446,152000000,380000000,Success
